data,hora,municipio,tipo_crime,bairro,cep,logradouro,lat,lon,ano
2023-01-29,13:00:15,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-29,13:00:15,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-29,13:00:15,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-29,,S.PAULO,Roubo (art. 157),LIBERDADE,1514001.0,RUA GLICÉRIO,-23.5596,-46.630973,2023
2023-01-30,10:40:00,S.PAULO,Roubo (art. 157),SE,1017000.0,AVENIDA RANGEL PESTANA,-23.5496,-46.629975,2023
2022-01-30,15:20:00,S.PAULO,Roubo (art. 157),SÉ,1001001.0,PRAÇA DA SÉ,-23.5493,-46.63387,2023
2023-01-29,15:30:00,S.PAULO,Roubo (art. 157),SÉ,1005000.0,RUA BENJAMIN CONSTANT,-23.55,-46.63423,2023
2023-01-28,21:30:00,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-28,21:30:00,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-28,21:30:00,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-31,06:50:00,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-31,06:50:00,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-29,03:30:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1015070.0,PARQUE DOM PEDRO II,-23.5474,-46.630622,2023
2023-01-02,16:30:00,S.PAULO,Roubo (art. 157),BOM RETIRO,1120010.0,PRAÇA DA LUZ,-23.5349,-46.634918,2023
2023-01-06,12:02:08,S.PAULO,Roubo (art. 157),BOM RETIRO,1120010.0,PRAÇA DA LUZ,-23.5344,-46.635958,2023
2023-01-05,09:00:00,S.PAULO,Roubo (art. 157),BOM RETIRO,1120010.0,PRAÇA DA LUZ,-23.5352,-46.635369,2023
2023-01-06,23:00:00,S.PAULO,Roubo (art. 157),LUZ,1101000.0,AVENIDA SANTOS DUMONT,-23.5259,-46.630722,2023
2023-01-09,16:00:47,S.PAULO,Roubo (art. 157),BOM RETIRO,1120010.0,PRAÇA DA LUZ,-23.5352,-46.635369,2023
